,fiber_100g,proteins_100g,vitamin-a_100g,vitamin-c_100g,fat_100g,carbohydrates_100g,sugars_100g,sodium_100g
155,5.8,3.8,0.0,0.0,25.3,66.5,34.8,0.31496062992126
156,4.2,4.9,0.0,0.001035,30.4,60.1,32.6,0.275590551181102
157,3.6,5.0,0.0,0.001035,31.3,58.7,30.4,0.31496062992126
158,5.7,5.3,2.675e-05,0.0,19.2,67.3,41.7,0.196850393700787
159,6.5,6.5,0.0,0.0075,14.5,74.2,41.9,0.29
160,3.85,3.85,0.0,0.0,26.9,65.4,38.5,0.346
161,3.85,3.85,0.0,0.0,26.9,65.4,34.6,0.269
162,2.2,4.8,2.675e-05,0.0,17.1,70.8,40.8,0.236220472440945
163,2.5,11.6,0.0,0.0,18.1,64.2,1.4,0.748031496062992
164,14.525,21.1,0.0,0.0,52.1,10.3,4.9,0.31496062992126
165,14.525,21.0,0.0,0.0,52.1,10.3,4.9,0.31496062992126
166,5.700000000000001,21.4,0.0,0.0,46.0,17.4,7.8,0.511811023622047
167,5.700000000000001,21.4,0.0,0.0,46.0,17.4,7.8,0.511811023622047
168,7.65,21.4,2.5e-05,0.001,46.0,27.7,7.8,0.511811023622047
169,5.700000000000001,21.4,0.0,0.0,46.0,17.4,7.8,0.984251968503937
170,10.425,21.4,0.0,0.0,46.0,17.4,7.8,0.0
171,0.0,21.4,0.0001065,0.0013224999999999999,46.0,19.974999999999998,7.8,0.984251968503937
172,5.700000000000001,21.4,0.0,0.0,46.0,17.4,7.8,0.984251968503937
173,0.0,20.0,0.0,0.0,45.2,17.3,10.3,0.945
174,5.700000000000001,21.4,0.0,0.0,46.0,17.4,7.8,0.511811023622047
175,5.700000000000001,21.4,0.0,0.0,46.0,17.4,7.8,0.984251968503937
176,10.425,21.4,0.0,0.0,46.0,17.4,7.8,0.0
177,4.1,15.2,0.0,0.0003,65.2,13.7,2.6,0.0118110236220472
178,0.0,19.0,1.5e-05,0.0003,12.3,0.0,0.0,0.0590551181102362
179,0.7,0.6,7.16e-05,0.01575,0.5,18.1,18.1,0.444881889763779
180,1.36,4.98,2.71e-05,0.0133,1.81,17.6,2.26,0.262
181,0.87,0.0,8.7e-05,0.0104,0.0,3.48,2.61,0.223
182,1.5,13.9,4.9e-05,0.0004275,17.3,14.9,2.3,0.267716535433071
183,1.0,0.4,0.0,0.0076675,0.5,62.0,58.5,0.0394
184,7.7,8.3,0.0,0.0,15.9,6.3,6.2,3.425
185,0.0,21.6,0.0,0.0,12.7,0.0,0.0,0.0591
186,6.1,0.7,0.00013000000000000002,0.007600000000000001,8.6,4.2,1.8,0.169
187,7.1,7.14,0.0,0.0,25.0,60.71,3.57,0.232
188,0.8,4.3,7.915e-05,0.0024400000000000003,5.6274999999999995,11.575,1.3,0.177165354330709
189,3.0,0.7,0.0011175,0.020999999999999998,0.5,5.9,5.5,0.0984251968503937
190,6.12,8.16,0.000459,0.0184,4.08,81.6,38.8,0.633
191,0.0,0.0,0.0,0.024,6.0,80.0,40.0,0.18
192,4.76,9.52,0.0,0.024374999999999997,14.3,69.0,28.6,0.381
193,4.76,11.9,0.0,0.0,16.7,66.7,26.2,0.429
194,46.7,6.67,0.00029005,0.03145,3.33,83.3,0.0,0.367
195,2.791305795431052,7.5054788666454115,0.0007682122314571278,0.03303264557251909,13.356505203965602,28.027689428190307,13.07710752101757,0.4120567748617073
196,10.7,10.7,0.000536,0.0214,7.14,71.4,3.57,0.5
197,10.7,10.7,0.000536,0.0214,7.14,71.4,3.57,0.5
198,12.2,8.16,0.0,0.0,6.12,81.6,28.6,0.449
199,3.12,3.12,0.000469,0.0187,4.69,84.4,31.2,0.5
