,fiber_100g,proteins_100g,vitamin-a_100g,vitamin-c_100g,fat_100g,carbohydrates_100g,sugars_100g,sodium_100g,nutrition_grade_fr
183,1.0,0.4,0.0,0.0076675,0.5,62.0,58.5,0.0394,d
184,7.7,8.3,0.0,0.0,15.9,6.3,6.2,3.425,c
185,0.0,21.6,0.0,0.0,12.7,0.0,0.0,0.0591,b
186,6.1,0.7,0.00013,0.0076,8.6,4.2,1.8,0.169,a
187,7.1,7.14,0.0,0.0,25.0,60.71,3.57,0.232,b
188,0.8,4.3,7.915e-05,0.00244,5.6275,11.575,1.3,0.177165354330709,a
189,3.0,0.7,0.0011175,0.0209999999999999,0.5,5.9,5.5,0.0984251968503937,a
190,6.12,8.16,0.000459,0.0184,4.08,81.6,38.8,0.633,d
191,0.0,0.0,0.0,0.024,6.0,80.0,40.0,0.18,d
192,4.76,9.52,0.0,0.0243749999999999,14.3,69.0,28.6,0.381,d
193,4.76,11.9,0.0,0.0,16.7,66.7,26.2,0.429,d
194,46.7,6.67,0.00029005,0.03145,3.33,83.3,0.0,0.367,a
195,2.791305795431052,7.5054788666454115,0.0007682122314571,0.033032645572519,13.356505203965602,28.027689428190307,13.07710752101757,0.4120567748617073,b
196,10.7,10.7,0.000536,0.0214,7.14,71.4,3.57,0.5,b
197,10.7,10.7,0.000536,0.0214,7.14,71.4,3.57,0.5,a
198,12.2,8.16,0.0,0.0,6.12,81.6,28.6,0.449,c
199,3.12,3.12,0.000469,0.0187,4.69,84.4,31.2,0.5,d
200,7.41,7.41,0.000556,0.0222,3.7,81.5,37.0,0.63,d
201,7.14,7.14,0.000536,0.0214,5.36,78.6,32.1,0.571,d
202,4.76,9.52,0.0,0.0,14.3,66.7,26.2,0.381,c
203,2.33,4.65,0.00018725,0.0216,3.49,81.4,41.9,0.837,e
204,2.33,2.33,0.0,0.0145,3.49,81.4,41.9,0.744,e
205,4.35,8.7,0.0,0.0,0.0,82.6,0.0,0.109,a
206,6.9,8.62,5.16e-05,0.0021,15.52,70.69,22.41,0.129,c
207,3.7,3.7,0.000556,0.0222,5.56,85.2,33.3,0.481,d
208,2.86,5.71,2.5e-05,0.0,8.57,77.1,45.7,0.514,e
209,5.71,5.71,0.000113,0.0,14.3,65.7,25.7,0.371,d
210,3.85,3.85,0.000577,0.0231,3.85,84.6,30.8,0.442,c
211,10.7,0.0,0.000536,0.0214,7.14,71.4,3.57,0.5,c
212,3.12,6.25,0.000469,0.0187,7.81,81.2,25.0,0.625,d
213,3.7,7.41,0.000556,0.0222,1.85,85.2,7.41,0.815,c
214,12.5,25.0,0.00107145,0.04865,30.0,35.0,15.0,0.45,d
215,20.0,4.0,0.0001742499999999,0.0295,12.0,72.0,32.0,0.32,d
216,2.22,2.22,0.000133,0.0,4.44,60.0,40.0,0.244,d
217,1.4,13.4,9.0825e-05,0.00168425,13.1,24.8,2.4,0.590551181102362,d
218,2.1,8.0,4.3575e-05,0.0021999999999999,6.9,29.2,5.4,0.326771653543307,b
219,2.2,1.1,0.0001371,0.0162,18.5,1.7,1.2,1.25984251968504,d
220,0.0,1.6,0.00015855,0.0,14.925,2.875,2.0,0.0196850393700787,d
221,0.7,0.71,0.0,0.0,0.0,22.14,17.86,0.1,b
222,0.0,2.06,0.0,0.0,22.5,2.85,0.0,0.0157,d
223,0.303,0.0,0.0,0.0,0.0,15.8,13.3,0.00909,e
224,0.0,0.0,0.0,0.0,10.0,3.33,3.33,0.033,c
225,1.65,1.6,0.0001371,0.0162,19.0,2.0,2.0,0.0196850393700787,d
226,0.0,0.0,0.0,0.0,0.0,11.18,11.18,0.011,e
227,0.3,0.0,2.525e-06,0.024075,0.29,8.29,6.29,0.037,b
228,0.0,0.0,0.0,0.0,0.0,11.0,11.0,0.0236220472440945,e
229,0.0,0.0,0.0,0.0,0.208,8.33,6.25,0.0375,b
230,0.0,0.5,0.0,0.0,0.5,9.2,8.9,0.047244094488189,c
231,0.0,1.0,5e-05,0.04,10.0,2.0,1.0,0.0,c
232,0.0,0.0,0.0,0.0189,0.0,12.57,11.0,0.031,e
233,6.67,0.0,4.8825e-05,0.010525,6.67,13.3,6.67,5.8,c
234,2.0,1.33,0.0001363,0.0066949999999999,5.33,5.0,3.33,0.247,b
235,1.7,2.4,4.455e-05,0.00975,1.5,14.0,14.0,1.88976377952756,d
236,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0196850393700787,b
237,2.1,6.7,0.0,0.0,20.2,68.0,31.3,0.189,e
238,0.0,20.4,0.0,0.0,9.73,0.0,0.0,0.0531,b
239,0.0,19.3,0.0,0.0,7.02,3.51,0.0,1.14,d
240,0.0,12.6,0.00020575,0.0,9.0,0.1,0.1,0.15,a
241,1.0,5.0,7.8e-06,0.000468,16.0,75.0,50.0,0.110236220472441,e
242,6.2,6.0,1.5e-05,0.0,28.45,11.5,0.8,0.484251968503937,a
243,0.5,2.1,7.5e-06,0.009575,20.9,16.9,15.1,0.0591,d
244,4.2,3.2,4.14e-05,0.0,9.8,55.0,39.6,0.11,d
245,1.3,1.3,7.7075e-05,0.02018,0.5,2.3,1.6,0.1,b
246,0.5,23.8,0.0003211499999999,0.0,33.0,3.0,0.5,0.700787401574803,d
247,0.0,46.43,0.0,0.0,3.57,14.29,14.29,2.107,d
248,1.0,1.6,0.0001126125,0.0203,0.5,0.7,0.1,0.0276,a
249,0.1,0.1,0.0008575,0.0095,0.1,0.1,0.1,0.0039370078740157,c
250,0.25,3.5,0.00012,0.003125,1.75,4.6,4.6,0.0394,b
251,0.0,6.67,0.0,0.0,0.0,80.0,0.0,0.0,b
252,6.2,0.5,0.000714725,0.082235,0.8,71.2,52.8,0.11,c
253,7.4,25.0,0.0,0.0,56.0,6.5,4.0,0.0157,c
254,7.4,25.0,0.0,0.0,56.0,6.5,4.0,0.0157,c
255,0.5,0.5,3.125e-05,0.0115,0.5,0.5,0.5,0.015748031496063,b
256,13.7,5.6,0.0053462499999999,0.001035,62.0,6.1,6.1,0.0,c
257,2.63,2.63,0.0,0.0,18.4,63.2,39.5,0.355,e
258,0.5,0.5,0.0,0.213225,0.5,99.9,99.9,0.00394,d
259,9.62,9.62,6.075e-05,0.04725,1.92,80.8,21.2,0.0,a
260,10.2,10.2,0.0,0.0,2.04,77.55,0.0,0.0,a
261,0.5,0.5,0.0,0.213225,0.5,99.9,99.9,0.00394,d
262,0.5,0.5,0.0,0.213225,0.5,99.7,99.7,0.00394,d
263,0.5,3.3,3.5675e-05,0.0007675,4.0,4.5,4.5,0.0394,b
264,0.0,0.0,0.0,0.0,16.67,66.67,0.0,0.875,e
265,19.2,25.0,0.0002937499999999,0.0288575,1.92,57.7,11.5,0.163,a
266,5.38,5.38,0.0,0.0,0.0,16.2,0.0,0.277,a
267,0.0,5.0,0.0003,0.0,35.0,5.0,5.0,0.325,d
268,0.1,3.33,6.25e-05,0.0005,1.04,10.0,9.17,0.0833,b
269,0.0,25.0,0.000321,0.0,32.1,3.57,0.0,0.643,d
